Constituency name,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,,
Greenwich and Woolwich,Lab hold,Lab,Green,73073,42719,221,18366,4863,23999,3865,3305,5633,0,,
Guildford,LD gain from Con,LD,Con,70662,48294,162,8429,14508,3931,22937,4395,2268,0,,
Hackney North and Stoke Newington,Lab hold,Lab,Green,77812,40959,254,15080,3457,24355,1562,1283,9275,0,,
Hackney South and Shoreditch,Lab hold,Lab,Green,78277,41701,213,14737,2076,24724,1996,1601,9987,0,,
Halesowen,Lab gain from Con,Lab,Con,68549,38578,142,4364,10659,15023,2261,8484,2151,0,,
Halifax,Lab hold,Lab,Con,77516,40214,149,6269,7866,14135,2359,7811,4133,0,,
Hamble Valley,Con hold,Con,LD,79478,54004,187,4802,19671,8753,14869,8216,2310,0,,
Hamilton and Clyde Valley,Lab gain from SNP,Lab,SNP,75480,42084,183,9472,4589,21020,1511,3299,0,11548,,
Hammersmith and Chiswick,Lab hold,Lab,Con,75860,46021,260,15290,8783,24073,4292,2929,4468,0,,
Hampstead and Highgate,Lab hold,Lab,Con,80029,48550,238,14970,8462,23432,6181,2940,6630,0,,
"Harborough, Oadby and Wigston",Con hold,Con,Lab,77075,50386,191,2378,18614,16236,4732,6332,4269,0,,
Harlow,Lab gain from Con,Lab,Con,74683,43357,117,2504,13809,16313,1350,9461,2267,0,,
Harpenden and Berkhamsted,LD gain from Con,LD,Con,72242,54336,188,10708,16574,4061,27282,4245,1951,0,,
Harrogate and Knaresborough,LD gain from Con,LD,Con,77955,52064,125,8238,15738,4153,23976,5679,1762,0,,
Harrow East,Con hold,Con,Lab,76513,47777,204,11680,25466,13786,1511,2188,2006,0,,
Harrow West,Lab hold,Lab,Con,79902,45241,150,6642,13191,19833,2404,2639,2438,0,,
Hartlepool,Lab hold,Lab,RUK,71437,35511,88,7698,7767,16414,572,8716,834,0,,
Harwich and North Essex,Con hold,Con,Lab,76296,48043,195,1162,16522,15360,3561,9806,2794,0,,
Hastings and Rye,Lab gain from Con,Lab,Con,75939,45990,183,8653,10481,19134,2586,7401,5761,0,,
Havant,Con hold,Con,Lab,72323,42186,133,92,12986,12894,3275,9959,2861,0,,
Hayes and Harlington,Lab hold,Lab,Con,74405,38315,118,12031,8374,20405,1316,4114,2131,0,,
Hazel Grove,LD gain from Con,LD,Lab,72846,45998,170,6500,9011,10828,17328,6955,1763,0,,
Hemel Hempstead,Lab gain from Con,Lab,Con,71035,44108,168,4857,11987,16844,5096,7689,2492,0,,
Hendon,Lab gain from Con,Lab,Con,74865,41256,190,15,15840,15855,1966,3038,2667,0,,
Henley and Thame,LD gain from Con,LD,Con,73749,53157,174,6267,17637,3574,23904,5213,2008,0,,
Hereford and South Herefordshire,Con hold,Con,Lab,72203,45572,154,1279,14871,13592,5325,8395,3175,0,,
Herne Bay and Sandwich,Con hold,Con,Lab,77869,48827,196,2499,17243,14744,2709,10602,3529,0,,
Hertford and Stortford,Lab gain from Con,Lab,Con,78915,54009,203,4748,16060,20808,4167,8325,4373,0,,
Hertsmere,Con hold,Con,Lab,73465,48007,204,7992,21451,13459,3710,6584,2267,0,,
Hexham,Lab gain from Con,Lab,Con,76431,51828,433,3713,20275,23988,2376,0,2467,0,,
Heywood and Middleton North,Lab hold,Lab,RUK,73328,37130,146,6082,6423,15069,2302,8987,0,0,,
High Peak,Lab gain from Con,Lab,Con,74385,49206,178,7908,14625,22533,1707,6959,3382,0,,
Hinckley and Bosworth,Con hold,Con,LD,76438,47799,147,5408,17032,8601,11624,8817,1514,0,,
Hitchin,Lab gain from Con,Lab,Con,75877,52510,179,8109,14958,23067,4913,6760,2631,0,,
Holborn and St Pancras,Lab hold,Lab,Ind,71300,38602,223,11572,2776,18884,2236,2371,4030,0,,
Honiton and Sidmouth,LD gain from Con,LD,Con,75537,50655,137,6700,16307,2947,23007,6289,1394,0,,
Hornchurch and Upminster,Con hold,Con,RUK,75438,46911,125,1943,15260,12939,2381,13317,2620,0,,
Hornsey and Friern Barnet,Lab hold,Lab,Green,69885,48642,287,21475,4011,28535,6099,1989,7060,0,,
Horsham,LD gain from Con,LD,Con,79150,55499,225,2517,19115,5979,21632,6116,2137,0,,
Houghton and Sunderland South,Lab hold,Lab,RUK,78448,40032,101,7169,5514,18837,2290,11668,1723,0,,
Hove and Portslade,Lab hold,Lab,Green,74063,51909,247,19791,6630,27209,3046,4558,7418,0,,
Huddersfield,Lab hold,Lab,Green,77795,40165,147,4533,6559,15101,1741,6196,10568,0,,
Huntingdon,Con hold,Con,Lab,79074,52040,194,1499,18257,16758,4821,8039,3042,0,,
Hyndburn,Lab gain from Con,Lab,Con,67147,36374,149,1687,10499,12186,1210,7541,4938,0,,
Ilford North,Lab hold,Lab,Ind,78657,46888,121,528,9619,15647,1088,3621,1794,0,,
Ilford South,Lab hold,Lab,Ind,80993,41170,167,6894,6142,16537,1340,2329,3437,0,,
Inverclyde and Renfrewshire West,Lab gain from SNP,Lab,SNP,70126,40350,101,6371,2863,18931,1259,2476,1173,12560,,
"Inverness, Skye and West Ross-shire",LD gain from SNP,LD,SNP,77927,48056,168,2160,2502,6246,18159,2934,2038,15999,,
Ipswich,Lab gain from Con,Lab,Con,75396,44071,167,7403,11696,19099,2241,7027,3652,0,,
Isle of Wight East,Con hold,Con,RUK,55855,34078,71,3323,10427,6264,3550,7104,6313,0,,
Isle of Wight West,Lab gain from Con,Lab,Con,55406,34290,78,3177,10063,13240,2726,5834,2310,0,,
Islington North,Ind gain from Lab,Ind,Lab,72852,49006,189,7247,1950,16873,1661,1710,2660,0,,
Islington South and Finsbury,Lab hold,Lab,Green,74122,42754,235,15455,3584,22946,4045,3388,7491,0,,
Jarrow and Gateshead East,Lab hold,Lab,RUK,70272,36728,85,8964,3354,18856,1740,9892,2384,0,,
Keighley and Ilkley,Con hold,Con,Lab,74367,46186,175,1625,18589,16964,970,4782,2447,0,,
Kenilworth and Southam,Con hold,Con,Lab,74923,53320,184,6574,19395,12821,10464,6920,3125,0,,
Kensington and Bayswater,Lab hold,Lab,Con,77306,41908,213,2903,14122,17025,2910,2514,2732,0,,
Kettering,Lab gain from Con,Lab,Con,79360,50231,152,3820,14189,18009,1357,8468,7004,0,,
Kilmarnock and Loudoun,Lab gain from SNP,Lab,SNP,74628,42478,134,5119,3527,19055,850,3472,1237,13936,,
Kingston and Surbiton,LD hold,LD,Con,77353,50664,149,17235,8635,6561,25870,4787,3009,0,,
Kingston upon Hull East,Lab hold,Lab,RUK,70650,29816,88,3920,2715,13047,3252,9127,1675,0,,
Kingston upon Hull North and Cottingham,Lab hold,Lab,RUK,75280,38228,137,10679,4897,18480,3246,7801,2322,0,,
Kingston upon Hull West and Haltemprice,Lab gain from Con,Lab,RUK,73252,38178,116,8979,6924,17875,2625,8896,1748,0,,
Kingswinford and South Staffordshire,Con hold,Con,Lab,71645,45180,146,6303,18199,11896,2080,9928,2077,0,,
Knowsley,Lab hold,Lab,RUK,71964,36047,88,18319,1496,24243,1232,5924,2772,0,,
Lagan Valley,APNI gain from DUP,APNI,DUP,82201,49081,162,2959,0,0,0,0,433,0,,
Lancaster and Wyre,Lab gain from Con,Lab,Con,74760,43008,199,9253,10062,19315,1529,6866,5236,0,,
Leeds Central and Headingley,Lab hold,Lab,Green,70554,31595,135,8422,2237,15853,2611,2399,7431,0,,
Leeds East,Lab hold,Lab,RUK,76207,39388,129,11265,6898,18610,1445,7345,3506,0,,
Leeds North East,Lab hold,Lab,Con,70178,45167,221,16083,7177,23260,2168,3426,5911,0,,
Leeds North West,Lab gain from Con,Lab,Con,71592,49777,176,11896,10986,22882,5641,5935,3231,0,,
Leeds South,Lab hold,Lab,Green,75953,31678,473,11279,4172,17117,1340,0,5838,0,,
Leeds South West and Morley,Lab gain from Con,Lab,Con,71854,40209,114,8423,9258,17681,1798,8187,2522,0,,
Leeds West and Pudsey,Lab hold,Lab,Con,70069,38494,121,12392,6584,18976,1743,6281,3794,0,,
Leicester East,Con gain from Lab,Con,Lab,76560,46714,255,4426,14526,10100,6329,2611,2143,0,,
Leicester South,Ind gain from Lab,Ind,Lab,70867,41837,158,979,4820,13760,1425,2470,3826,0,,
Leicester West,Lab hold,Lab,Con,74102,35397,161,8777,7021,15798,2179,5666,4089,0,,
Leigh and Atherton,Lab gain from Con,Lab,RUK,79978,41170,147,8881,6483,19971,1597,11090,1653,0,,
Lewes,LD gain from Con,LD,Con,76166,53173,171,12624,14271,3574,26895,6335,1869,0,,
Lewisham East,Lab hold,Lab,Green,73380,40637,192,18073,4401,23646,2471,3469,5573,0,,
Lewisham North,Lab hold,Lab,Green,74205,44167,262,15782,2701,25467,3284,2000,9685,0,,
Lewisham West and East Dulwich,Lab hold,Lab,Green,69386,46414,213,18397,3477,27406,3558,2234,9009,0,,
Leyton and Wanstead,Lab hold,Lab,Green,71491,43732,208,13964,4846,20755,2815,2475,6791,0,,
Lichfield,Lab gain from Con,Lab,Con,76118,49104,159,810,16422,17232,3572,9734,1724,0,,
Lincoln,Lab gain from Con,Lab,Con,72315,42160,165,8793,9677,18470,2580,7602,2751,0,,
Liverpool Garston,Lab hold,Lab,RUK,69282,41993,155,20104,2943,24510,3239,4406,2816,0,,
Liverpool Riverside,Lab hold,Lab,Green,71380,32381,156,14793,1155,20039,1544,3272,5246,0,,
Liverpool Walton,Lab hold,Lab,RUK,69317,36886,132,20245,1282,26032,945,5787,2388,0,,
Liverpool Wavertree,Lab hold,Lab,Green,70581,39815,231,16304,1887,23077,2759,3454,6773,0,,
Liverpool West Derby,Lab hold,Lab,RUK,69934,38006,162,20423,1566,25302,1276,4879,2647,0,,
Livingston,Lab gain from SNP,Lab,SNP,78043,44840,121,3528,3469,18324,2025,3977,1704,14796,,
Llanelli,Lab hold,Lab,RUK,71538,40744,124,1504,4275,12751,1254,11247,1106,0,,
Lothian East,Lab gain from SNP,Lab,SNP,75456,48102,132,13265,5535,23555,2649,3039,2477,10290,,
Loughborough,Lab gain from Con,Lab,Con,68961,42259,177,4960,12289,17249,2561,7204,2956,0,,
Louth and Horncastle,Con hold,Con,RUK,76880,46479,131,5506,17441,10475,2364,11935,2504,0,,
Lowestoft,Lab gain from Con,Lab,Con,74332,41824,101,2016,12448,14464,1489,10328,3095,0,,
Luton North,Lab hold,Lab,Con,74866,38745,162,7510,7167,14677,1890,4666,1940,0,,
Luton South and South Bedfordshire,Lab hold,Lab,Con,77312,38382,176,6858,6735,13593,2400,4759,2401,0,,
Macclesfield,Lab gain from Con,Lab,Con,76416,52792,143,9120,15552,24672,2482,6592,2493,0,,
Maidenhead,LD gain from Con,LD,Con,75687,50329,516,2963,18932,5766,21895,0,1996,0,,
Maidstone and Malling,Con hold,Con,Lab,76449,46389,131,1674,14146,12472,6375,9316,3727,0,,
Makerfield,Lab hold,Lab,RUK,76641,40263,135,5399,4379,18202,2735,12803,1776,0,,
Maldon,Con hold,Con,RUK,78282,49841,199,6906,19374,9817,5882,12468,2300,0,,
Manchester Central,Lab hold,Lab,Green,85204,39725,181,13797,2823,20184,3051,4760,6387,0,,
Manchester Rusholme,Lab hold,Lab,Green,72608,29033,193,8235,1678,15054,0,1313,6819,0,,
Manchester Withington,Lab hold,Lab,Green,70555,41731,240,13982,2280,22066,5412,1961,8084,0,,
Mansfield,Lab gain from Con,Lab,Con,74535,41087,114,3485,12563,16048,799,9385,1326,0,,
Melksham and Devizes,LD gain from Con,LD,Con,73482,51203,203,2401,17630,4587,20031,6726,2229,0,,
Melton and Syston,Con hold,Con,Lab,74316,45986,163,5396,17526,12130,2547,8945,3685,0,,
Meriden and Solihull East,Con hold,Con,Lab,73659,44035,161,4584,16792,12208,3353,8753,2929,0,,
Merthyr Tydfil and Aberdare,Lab hold,Lab,RUK,74460,35215,115,7447,2687,15791,1276,8344,1231,0,,
Mid and South Pembrokeshire,Lab gain from Con,Lab,Con,79033,46629,147,1878,14627,16505,2372,7828,1654,0,,
Mid Bedfordshire,Con hold,Con,Lab,75457,49621,179,1321,16912,15591,4068,8594,2584,0,,
Mid Buckinghamshire,Con hold,Con,LD,75622,53951,231,5872,20150,9171,14278,6926,2942,0,,
Mid Cheshire,Lab gain from Con,Lab,Con,70384,41509,115,8927,9530,18457,2465,7967,1967,0,,
Mid Derbyshire,Lab gain from Con,Lab,Con,69917,47543,153,1878,15468,17346,2361,8356,3547,0,,
Mid Dorset and North Poole,LD gain from Con,LD,Con,75294,49514,798,1352,20090,4566,21442,0,2355,0,,
Mid Dunbartonshire,LD gain from SNP,LD,SNP,73603,52738,132,9673,2452,10993,22349,2099,1720,12676,,
Mid Leicestershire,Con hold,Con,Lab,75924,48050,181,2201,17735,15534,2444,8923,3414,0,,
Mid Norfolk,Con hold,Con,Lab,75238,45897,222,3054,16770,13716,3126,9427,2858,0,,
Mid Sussex,LD gain from Con,LD,Con,75969,53328,145,6662,14474,9397,21136,5921,2048,0,,
Mid Ulster,SF hold,SF,DUP,74000,45445,246,14923,0,0,0,0,0,0,,
Middlesbrough and Thornaby East,Lab hold,Lab,RUK,75123,34407,92,9192,6174,16238,1037,7046,1522,0,,
Middlesbrough South and East Cleveland,Lab gain from Con,Lab,Con,70331,38035,529,214,16254,16468,2032,0,1446,0,,
Midlothian,Lab gain from SNP,Lab,SNP,73554,44165,162,8167,3248,21480,2589,3276,0,13313,,
Milton Keynes Central,Lab gain from Con,Lab,Con,81078,47729,201,7291,12918,20209,4931,6245,3226,0,,
Milton Keynes North,Lab gain from Con,Lab,Con,70709,45977,184,5430,13888,19318,3365,6164,3242,0,,
Mitcham and Morden,Lab hold,Lab,Con,77282,45255,182,18761,6324,25085,3622,4135,4635,0,,
Monmouthshire,Lab gain from Con,Lab,Con,74823,50844,154,3338,17672,21010,2279,5438,2357,0,,
Montgomeryshire and Glyndŵr,Lab gain from Con,Lab,RUK,74039,43259,193,3815,7775,12709,6470,8894,1744,0,,
"Moray West, Nairn and Strathspey",SNP hold,SNP,Con,77243,46554,167,1001,13960,8259,3785,3490,1676,14961,,
Morecambe and Lunesdale,Lab gain from Con,Lab,Con,76424,48059,171,5815,13788,19603,4769,7810,2089,0,,
"Motherwell, Wishaw and Carluke",Lab gain from SNP,Lab,SNP,71777,39026,125,7085,2415,19168,822,3004,1200,12083,,
Na h-Eileanan an Iar,Lab gain from SNP,Lab,SNP,21325,13528,53,3836,647,6692,382,697,0,2856,,
Neath and Swansea East,Lab hold,Lab,RUK,76291,40137,132,6627,3765,16797,2344,10170,1711,0,,
New Forest East,Con hold,Con,Lab,70618,45230,146,8495,17412,8917,7198,7646,3118,0,,
New Forest West,Con hold,Con,Lab,68644,46337,152,5600,16412,10812,8186,7577,2800,0,,
Newark,Con hold,Con,Lab,79783,53459,198,3572,20968,17396,3026,8280,2345,0,,
Newbury,LD gain from Con,LD,Con,71982,48930,173,2377,17268,3662,19645,5357,2714,0,,
Newcastle upon Tyne Central and West,Lab hold,Lab,RUK,76822,41355,167,11060,4228,18875,1946,7815,3228,0,,
Newcastle upon Tyne East and Wallsend,Lab hold,Lab,RUK,76245,42321,123,12817,3522,21200,2965,8383,5257,0,,
Newcastle upon Tyne North,Lab hold,Lab,Con,74768,48617,197,17762,6678,24440,5936,5933,5035,0,,
Newcastle-under-Lyme,Lab gain from Con,Lab,Con,67815,39618,158,5069,10923,15992,1987,8865,1851,0,,
Newport East,Lab hold,Lab,RUK,76683,38531,154,9009,6487,16370,2045,7361,2092,0,,
Newport West and Islwyn,Lab hold,Lab,RUK,75785,41951,163,8868,6710,17409,2087,8541,2078,0,,
Newry and Armagh,SF hold,SF,SDLP,78244,45942,294,15493,83,0,0,0,0,0,,
Newton Abbot,LD gain from Con,LD,Con,73885,47992,158,2246,12955,7115,15201,8494,2083,0,,
Newton Aycliffe and Spennymoor,Lab gain from Con,Lab,RUK,72215,39846,79,8839,8195,18394,1491,9555,1701,0,,
Normanton and Hemsworth,Lab hold,Lab,RUK,75645,36349,137,6662,4995,17275,1319,10613,2147,0,,
North Antrim,TUV gain from DUP,TUV,DUP,74697,41185,176,450,0,0,0,0,0,0,,
North Ayrshire and Arran,Lab gain from SNP,Lab,SNP,72176,42262,161,3551,5954,16821,1005,3415,1327,13270,,
North Bedfordshire,Con hold,Con,Lab,78850,51561,210,5414,19981,14567,5553,8433,3027,0,,
North Cornwall,LD gain from Con,LD,Con,76741,51245,47,9957,14137,2958,24094,8444,1335,0,,
North Cotswolds,Con hold,Con,LD,73203,50229,188,3357,17426,8593,14069,6502,3191,0,,
North Devon,LD gain from Con,LD,Con,79079,51417,132,6744,15076,3216,21820,8137,2348,0,,
North Dorset,Con hold,Con,LD,72690,49683,153,1589,18208,4370,16619,7894,2082,0,,
North Down,Ind gain from APNI,Ind,APNI,73885,43296,168,7305,0,0,0,0,1247,0,,
North Durham,Lab hold,Lab,RUK,73226,41565,162,5873,6492,16562,4208,10689,2366,0,,
North East Cambridgeshire,Con hold,Con,RUK,71511,39176,145,7189,16246,8008,2716,9057,2001,0,,
North East Derbyshire,Lab gain from Con,Lab,Con,73234,45866,120,1753,15838,17591,2159,7899,2271,0,,
North East Fife,LD gain from SNP,LD,SNP,69762,42728,147,13479,1666,4026,23384,2094,1653,9905,,
North East Hampshire,LD gain from Con,LD,Con,76923,55560,143,634,20544,5057,21178,6673,1425,0,,
North East Hertfordshire,Lab gain from Con,Lab,Con,77697,52520,173,1923,16435,18358,5463,8462,3802,0,,
North East Somerset and Hanham,Lab gain from Con,Lab,Con,73889,51125,142,5319,15420,20739,3878,7424,3222,0,,
North Herefordshire,Green gain from Con,Green,Con,72797,50362,145,5894,15842,3205,1436,8048,21736,0,,
North Norfolk,LD gain from Con,LD,Con,71438,47043,138,2585,16903,2878,19488,6368,1406,0,,
North Northumberland,Lab gain from Con,Lab,Con,74190,48843,149,5067,12788,17855,5169,7688,1743,0,,
North Shropshire,LD gain from Con,LD,Con,77573,49594,120,15311,10903,3423,26214,7687,1234,0,,
North Somerset,Lab gain from Con,Lab,Con,74426,53766,177,639,18499,19138,7121,5602,3273,0,,
North Warwickshire and Bedworth,Lab gain from Con,Lab,Con,69752,40940,141,2198,12529,14727,1228,10701,1755,0,,
North West Cambridgeshire,Lab gain from Con,Lab,Con,75915,44424,184,39,14746,14785,3192,8741,2960,0,,
North West Essex,Con hold,Con,Lab,79698,54386,215,2610,19360,16750,6055,7668,2846,0,,
North West Hampshire,Con hold,Con,Lab,78629,50823,171,3288,17770,14482,7626,7734,2745,0,,
North West Leicestershire,Lab gain from Con,Lab,Con,77750,48572,137,1012,15859,16871,1629,9678,2831,0,,
North West Norfolk,Con hold,Con,Lab,74415,44566,187,4954,16097,11143,6492,8697,2137,0,,
Northampton North,Lab gain from Con,Lab,Con,75575,41813,138,9014,9195,18209,2251,7010,2558,0,,
Northampton South,Lab gain from Con,Lab,Con,70393,43904,159,4071,12819,16890,3193,8210,2398,0,,
Norwich North,Lab gain from Con,Lab,Con,73717,45765,185,10850,9944,20794,2073,8229,4372,0,,
Norwich South,Lab hold,Lab,Green,76296,45095,179,13239,5806,21484,3577,5227,8245,0,,
Nottingham East,Lab hold,Lab,Green,69395,36401,226,15162,3925,19494,1741,3578,4332,0,,
Nottingham North and Kimberley,Lab hold,Lab,RUK,73768,35007,200,9427,6787,16480,1336,7053,3351,0,,
Nottingham South,Lab hold,Lab,Con,64255,32879,164,10294,5285,15579,2059,4936,2923,0,,
Nuneaton,Lab gain from Con,Lab,Con,71843,41213,105,3479,11737,15216,1340,9059,2894,0,,
Old Bexley and Sidcup,Con hold,Con,Lab,73198,47633,126,3548,17910,14362,1927,10384,2601,0,,
Oldham East and Saddleworth,Lab hold,Lab,RUK,73460,40065,157,6357,6838,14091,3386,7734,1490,0,,
"Oldham West, Chadderton and Royton",Lab hold,Lab,Ind,76031,38573,199,4976,4066,13232,1271,6848,1857,0,,
Orkney and Shetland,LD hold,LD,SNP,34236,20688,106,7807,586,1493,11392,1586,2046,3585,,
Orpington,Con hold,Con,Lab,71284,46073,165,5118,17504,12386,4728,8896,2319,0,,
Ossett and Denby Dale,Lab gain from Con,Lab,Con,72312,43873,120,4542,12690,17232,1785,9224,2132,0,,
Oxford East,Lab hold,Lab,Green,71845,39341,390,14465,4739,19541,3437,0,5076,0,,
Oxford West and Abingdon,LD hold,LD,Con,69851,45998,196,14894,8520,5981,23414,4164,3236,0,,
Paisley and Renfrewshire North,Lab gain from SNP,Lab,SNP,71103,41519,144,6333,2659,19561,1374,3228,1469,13228,,
Paisley and Renfrewshire South,Lab gain from SNP,Lab,SNP,71574,41283,133,6527,2219,19583,1315,2956,1724,13056,,
Peckham,Lab hold,Lab,Green,72127,38797,226,15228,2276,22813,2724,1790,7585,0,,
Pendle and Clitheroe,Lab gain from Con,Lab,Con,78796,46754,158,902,15227,16129,2039,8171,1421,0,,
Penistone and Stocksbridge,Lab gain from Con,Lab,Con,70435,43965,167,8739,10430,19169,2866,9456,2044,0,,
Penrith and Solway,Lab gain from Con,Lab,Con,77935,49281,148,5257,14729,19986,4742,7624,1730,0,,
Perth and Kinross-shire,SNP hold,SNP,Con,77261,50077,142,4127,14801,9018,3681,2970,0,18928,,
Peterborough,Lab gain from Con,Lab,Con,73378,41872,143,118,13300,13418,1746,5379,2542,0,,
Plymouth Moor View,Lab gain from Con,Lab,Con,74724,42856,118,5604,12061,17665,1766,9670,1694,0,,
Plymouth Sutton and Devonport,Lab hold,Lab,RUK,75313,42095,193,13328,6873,20795,2441,7467,3186,0,,
"Pontefract, Castleford and Knottingley",Lab hold,Lab,RUK,74618,35957,123,6630,5406,17089,1213,10459,1651,0,,
Pontypridd,Lab hold,Lab,RUK,75951,39378,116,8402,3775,16225,1606,7823,1865,0,,
Poole,Lab gain from Con,Lab,Con,72509,44495,148,18,14150,14168,5507,7429,2218,0,,
Poplar and Limehouse,Lab hold,Lab,Green,84116,43051,316,12560,4738,18535,4189,3403,5975,0,,
Portsmouth North,Lab gain from Con,Lab,Con,70446,41593,148,780,13715,14495,3031,8501,1851,0,,
Portsmouth South,Lab hold,Lab,RUK,73711,38928,180,13155,5643,18857,4886,5702,3107,0,,
Preston,Lab hold,Lab,Ind,77400,39993,139,5291,5212,14006,3195,5738,1751,0,,
Putney,Lab hold,Lab,Con,72686,49295,218,12488,11625,24113,5943,3070,3721,0,,
Queen's Park and Maida Vale,Lab hold,Lab,Green,75558,38343,275,14913,5088,20126,3417,2106,5213,0,,
Rawmarsh and Conisbrough,Lab hold,Lab,RUK,69133,33904,109,6908,4496,16612,1137,9704,1687,0,,
Rayleigh and Wickford,Con hold,Con,RUK,76576,47978,166,5621,17756,11823,4068,12135,2196,0,,
Reading Central,Lab hold,Lab,Con,73600,45291,216,12637,8961,21598,3963,3904,6417,0,,
Reading West and Mid Berkshire,Lab gain from Con,Lab,Con,68781,46551,151,1361,14912,16273,5103,6260,3169,0,,
Redcar,Lab gain from Con,Lab,Con,70241,38209,103,3323,12340,15663,1542,7216,1279,0,,
Redditch,Lab gain from Con,Lab,Con,71042,42375,126,789,14021,14810,2165,8516,2098,0,,
Reigate,Con hold,Con,Lab,77102,53161,198,3187,18822,15635,6773,7240,4691,0,,
Rhondda and Ogmore,Lab hold,Lab,RUK,74493,35806,136,7790,2050,17118,935,9328,1177,0,,
Ribble Valley,Lab gain from Con,Lab,Con,80484,52023,181,856,17321,18177,5001,8524,1727,0,,
Richmond and Northallerton,Con hold,Con,Lab,73886,48526,99,12185,23059,10874,4322,7142,2058,0,,
Richmond Park,LD hold,LD,Con,74988,52205,218,17155,11373,5048,28528,3258,3416,0,,
Rochdale,Lab hold,Lab,WPB,72507,39688,95,1440,4273,13027,2816,6773,1212,0,,
Rochester and Strood,Lab gain from Con,Lab,Con,74257,42598,135,2930,12473,15403,1894,9966,2427,0,,
Romford,Con hold,Con,Lab,72928,44047,132,1463,15339,13876,1895,9624,2220,0,,
Romsey and Southampton North,Con hold,Con,LD,71871,50027,151,2191,19893,4640,17702,5716,1893,0,,
Rossendale and Darwen,Lab gain from Con,Lab,Con,74440,44618,138,5628,12619,18247,1241,9695,2325,0,,
Rother Valley,Lab gain from Con,Lab,Con,69459,41608,104,998,15025,16023,1175,7679,1706,0,,
Rotherham,Lab hold,Lab,RUK,75929,36932,364,5490,0,16671,2824,11181,2632,0,,
Rugby,Lab gain from Con,Lab,Con,74901,49004,196,4428,15105,19533,3252,8225,2556,0,,
"Ruislip, Northwood and Pinner",Con hold,Con,Lab,71683,47091,160,7581,21366,13785,4343,4671,2926,0,,
Runcorn and Helsby,Lab hold,Lab,RUK,70801,42235,171,14696,6756,22358,2149,7662,2715,0,,
Runnymede and Weybridge,Con hold,Con,LD,73610,48253,156,7627,18442,9963,10815,6419,1954,0,,
Rushcliffe,Lab gain from Con,Lab,Con,79160,57744,212,7426,17865,25291,3133,6353,4367,0,,
Rutherglen,Lab gain from SNP,Lab,SNP,72674,42484,129,8767,2420,21460,1714,2685,0,12693,,
Rutland and Stamford,Con hold,Con,Lab,71763,48577,170,10394,21248,10854,6252,7008,2806,0,,
Salford,Lab hold,Lab,RUK,83633,39704,185,15101,3583,21132,2752,6031,5188,0,,
Salisbury,Con hold,Con,Lab,71802,50173,174,3807,17110,13303,11825,5235,2115,0,,
Scarborough and Whitby,Lab gain from Con,Lab,Con,74544,44221,120,5408,12350,17758,1899,9657,1719,0,,
Scunthorpe,Lab gain from Con,Lab,Con,73855,39051,103,3542,11942,15484,942,8163,1218,0,,
Sefton Central,Lab hold,Lab,Con,74284,47449,225,18282,8490,26772,2630,5767,3294,0,,
Selby,Lab gain from Con,Lab,Con,78043,49222,161,10195,12593,22788,1792,9565,2484,0,,
Sevenoaks,Con hold,Con,LD,73708,49899,151,5440,18328,6802,12888,9341,2033,0,,
Sheffield Brightside and Hillsborough,Lab hold,Lab,Green,70389,31612,529,11600,4069,16301,1694,0,4701,0,,
Sheffield Central,Lab hold,Lab,Green,60594,31803,287,8286,2339,16569,2174,0,8283,0,,
Sheffield Hallam,Lab hold,Lab,LD,72900,51601,504,8189,6205,23875,15686,0,4491,0,,
Sheffield Heeley,Lab hold,Lab,Green,73452,38446,638,15304,5242,21230,3863,0,5926,0,,
Sheffield South East,Lab hold,Lab,Con,74156,35771,796,12458,6252,18710,3421,0,3158,0,,
Sherwood Forest,Lab gain from Con,Lab,Con,78896,48660,161,5443,13398,18841,1838,11320,2216,0,,
Shipley,Lab gain from Con,Lab,Con,74130,48303,147,8603,13135,21738,1341,7238,3605,0,,
Shrewsbury,Lab gain from Con,Lab,Con,76599,51560,195,11355,11577,22932,6722,7524,2387,0,,
Sittingbourne and Sheppey,Lab gain from Con,Lab,Con,79067,40998,90,355,11564,11919,1321,10512,1692,0,,
Skipton and Ripon,Con hold,Con,Lab,79238,53450,164,1650,18833,17183,4194,8516,3446,0,,
Sleaford and North Hykeham,Con hold,Con,Lab,75651,48565,196,4346,17348,13002,2264,10484,2435,0,,
Slough,Lab hold,Lab,INet,81295,43278,167,3647,7457,14666,2060,3352,1873,0,,
Smethwick,Lab hold,Lab,RUK,72863,35115,211,11188,4546,16858,1018,5670,2741,0,,
Solihull West and Shirley,Con hold,Con,Lab,71816,46877,151,4620,16284,11664,7916,7149,3270,0,,
South Antrim,UUP gain from DUP,UUP,DUP,77058,42908,181,7512,0,0,0,0,541,0,,
South Basildon and East Thurrock,RUK gain from Con,RUK,Lab,72673,39549,123,98,10159,12080,1071,12178,1718,0,,
South Cambridgeshire,LD gain from Con,LD,Con,77327,54885,228,10641,15063,6106,25704,4897,2656,0,,
South Cotswolds,LD gain from Con,LD,Con,71971,52287,163,4973,17988,3942,22961,5146,1564,0,,
South Derbyshire,Lab gain from Con,Lab,Con,73714,45737,153,4168,13566,17734,2134,8979,1941,0,,
