Constituency name,Result,First party,Second party,Electorate,Valid votes,Invalid votes,Majority,Con,Lab,LD,RUK,Green,SNP,,
Blackley and Middleton South,Lab hold,Lab,RUK,72303,31340,149,10250,3073,16864,1592,6614,3197,0,,
Blackpool North and Fleetwood,Lab gain from Con,Lab,Con,73339,41810,128,4647,12097,16744,1318,9913,1269,0,,
Blackpool South,Lab gain from Con,Lab,RUK,77460,35180,129,6848,5504,16916,1041,10068,1207,0,,
Blaenau Gwent and Rhymney,Lab hold,Lab,PC,70153,29922,516,12183,3776,16027,1268,0,1719,0,,
Blaydon and Consett,Lab hold,Lab,RUK,70487,42216,120,11153,6052,21160,2273,10007,2589,0,,
Blyth and Ashington,Lab hold,Lab,RUK,76595,40401,126,9173,6121,20030,1433,10857,1960,0,,
Bognor Regis and Littlehampton,Con hold,Con,Lab,76854,47827,186,1765,15678,13913,5081,10262,2185,0,,
Bolsover,Lab gain from Con,Lab,Con,77207,42434,111,6323,10874,17197,1478,9131,3754,0,,
Bolton North East,Lab gain from Con,Lab,Con,80011,43359,148,6653,9513,16166,1507,9428,4683,0,,
Bolton South and Walkden,Lab hold,Lab,RUK,79622,36930,138,6743,4170,15093,1384,8350,2827,0,,
Bolton West,Lab gain from Con,Lab,Con,74933,44598,180,4945,12418,17363,1966,8517,4132,0,,
Bootle,Lab hold,Lab,RUK,73037,38880,139,21983,1674,26729,1301,4746,3904,0,,
Boston and Skegness,RUK gain from Con,RUK,Con,75811,40455,128,2010,13510,7629,1375,15520,1506,0,,
Bournemouth East,Lab gain from Con,Lab,Con,72354,44910,143,5479,12837,18316,3082,6268,2790,0,,
Bournemouth West,Lab gain from Con,Lab,Con,70259,39418,137,3224,11141,14365,4311,6647,2614,0,,
Bracknell,Lab gain from Con,Lab,Con,71660,43837,155,784,13999,14783,4768,7445,2166,0,,
Bradford East,Lab hold,Lab,Ind,75164,37216,148,6189,3450,14098,1910,4952,2571,0,,
Bradford South,Lab hold,Lab,RUK,70999,33042,91,4392,4853,11833,954,7441,3366,0,,
Bradford West,Lab hold,Lab,Ind,77897,37081,219,707,3055,11724,756,2958,3690,0,,
Braintree,Con hold,Con,Lab,77673,49028,167,3670,17414,13744,2879,11346,2878,0,,
"Brecon, Radnor and Cwm Tawe",LD gain from Con,LD,Con,73114,46548,120,1472,12264,9904,13736,6567,1188,0,,
Brent East,Lab hold,Lab,Con,77547,37802,243,13047,6323,19370,2635,2024,3729,0,,
Brent West,Lab hold,Lab,Con,80027,41376,199,3793,13465,17258,3013,2061,2805,0,,
Brentford and Isleworth,Lab hold,Lab,Con,79423,45254,219,9824,10183,20007,3863,3940,4029,0,,
Brentwood and Ongar,Con hold,Con,RUK,75352,48332,169,5980,17731,11082,5809,11751,1770,0,,
Bridgend,Lab gain from Con,Lab,RUK,73168,41374,108,8595,6764,16516,1446,7921,1760,0,,
Bridgwater,Con hold,Con,Lab,71571,40129,149,1349,12281,10932,5781,8913,1720,0,,
Bridlington and The Wolds,Con hold,Con,Lab,74438,42937,140,3125,14846,11721,3097,10350,1595,0,,
Brigg and Immingham,Con hold,Con,Lab,73099,42508,168,3243,15905,12662,1442,10594,1905,0,,
Brighton Kemptown and Peacehaven,Lab hold,Lab,Con,68784,40686,557,9663,8230,17893,3949,0,7997,0,,
Brighton Pavilion,Green hold,Green,Lab,74786,52363,209,14290,3975,14519,1604,2836,28809,0,,
Bristol Central,Green gain from Lab,Green,Lab,62735,43365,165,10407,1998,14132,1162,1338,24539,0,,
Bristol East,Lab hold,Lab,Green,75917,46109,845,6606,6435,20748,2713,0,14142,0,,
Bristol North East,Lab hold,Lab,Green,70076,41989,160,11167,6216,19004,1964,5418,7837,0,,
Bristol North West,Lab hold,Lab,Green,74869,48464,264,15669,6773,24058,4159,4863,8389,0,,
Bristol South,Lab hold,Lab,Green,75533,43403,179,7666,4947,18521,2721,6195,10855,0,,
Broadland and Fakenham,Con hold,Con,Lab,76863,49513,192,719,16322,15603,5526,8859,3203,0,,
Bromley and Biggin Hill,Con hold,Con,Lab,70713,46788,173,302,15929,15627,4352,8203,2583,0,,
Bromsgrove,Con hold,Con,Lab,76468,50405,140,3016,16533,13517,7391,9584,1675,0,,
